low_cut_rawsum_le,high_cut_rawsum_ge,accepted_proportion,escalation_proportion,low_zone_n,middle_zone_n,high_zone_n,low_zone_npv,high_zone_ppv,accepted_error_n,accepted_error_rate_all,accepted_error_rate_accepted,average_item_burden,burden_reduction_vs_90,constraint_low_npv_min,constraint_high_ppv_min,constraint_accepted_error_max
11,47,0.5839719324162127,0.4160280675837873,6289,4506,36,0.9988869454603275,1.0,7,0.000646293047733358,0.0011067193675889327,46.20210506878404,0.4866432770135106,0.995,0.96,0.008
11,48,0.5835102945249746,0.4164897054750254,6289,4511,31,0.9988869454603275,1.0,7,0.000646293047733358,0.0011075949367088608,46.236727910626904,0.4862585787708122,0.995,0.96,0.008
11,49,0.5830486566337365,0.4169513433662635,6289,4516,26,0.9988869454603275,1.0,7,0.000646293047733358,0.0011084718923198734,46.271350752469765,0.4858738805281137,0.995,0.96,0.008
11,50,0.582679346320746,0.417320653679254,6289,4520,22,0.9988869454603275,1.0,7,0.000646293047733358,0.0011091744572967834,46.29904902594405,0.485566121933955,0.995,0.96,0.008
11,51,0.5824946911642508,0.4175053088357492,6289,4522,20,0.9988869454603275,1.0,7,0.000646293047733358,0.0011095260738627358,46.31289816268119,0.4854122426368756,0.995,0.96,0.008
11,52,0.5820330532730127,0.41796694672698737,6289,4527,15,0.9988869454603275,1.0,7,0.000646293047733358,0.0011104060913705585,46.347521004524054,0.48502754439417717,0.995,0.96,0.008
11,53,0.5817560705382698,0.4182439294617302,6289,4530,12,0.9988869454603275,1.0,7,0.000646293047733358,0.0011109347722583717,46.368294709629765,0.4847967254485582,0.995,0.96,0.008
11,54,0.5816637429600222,0.41833625703997784,6289,4531,11,0.9988869454603275,1.0,7,0.000646293047733358,0.0011111111111111111,46.37521927799834,0.48471978580001845,0.995,0.96,0.008
11,55,0.5815714153817745,0.41842858461822546,6289,4532,10,0.9988869454603275,1.0,7,0.000646293047733358,0.001111287505953326,46.38214384636691,0.4846428461514788,0.995,0.96,0.008
11,56,0.5814790878035269,0.4185209121964731,6289,4533,9,0.9988869454603275,1.0,7,0.000646293047733358,0.0011114639568116863,46.38906841473548,0.48456590650293907,0.995,0.96,0.008
